"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 27 22:32:46 GMT 2022","Sun Mar 27 22:32:46 GMT 2022","235","","TodoRestTest","","TodoRestTest","todoEndToEnd","todoEndToEnd()","Create 1 TODO Get and check first TODO from list Update an existing TODO with the provided one Check that TODO has been updatedClear database after test"
"passed","Sun Mar 27 22:32:39 GMT 2022","Sun Mar 27 22:32:46 GMT 2022","6571","","TodoRestTest","","TodoRestTest","getTodoWithLimitOffset","getTodoWithLimitOffset()","Create 2 TODO's Check that /GET with limit 1 and offset 1 returned SECOND Todo (not first) Clear database after test"
